run,iterations,type,latency
2,700000,Independent Client (elevated),0.100543
2,700000,Client + Server,0.254548
2,700000,Client + Server (elevated),0.192690
3,700000,Independent Client,0.154092
3,700000,Independent Client (elevated),0.102568
3,700000,Client + Server,0.255468
3,700000,Client + Server (elevated),0.194167
4,700000,Independent Client,0.152618
4,700000,Independent Client (elevated),0.097967
4,700000,Client + Server,0.238953
4,700000,Client + Server (elevated),0.194683
5,700000,Independent Client,0.165327
5,700000,Independent Client (elevated),0.097866
5,700000,Client + Server,0.251440
5,700000,Client + Server (elevated),0.197099
6,700000,Independent Client,0.155603
6,700000,Independent Client (elevated),0.100671
6,700000,Client + Server,0.254355
6,700000,Client + Server (elevated),0.195487
7,700000,Independent Client,0.155716
7,700000,Independent Client (elevated),0.103953
7,700000,Client + Server,0.244346
7,700000,Client + Server (elevated),0.200003
8,700000,Independent Client,0.152530
8,700000,Independent Client (elevated),0.097004
8,700000,Client + Server,0.244945
8,700000,Client + Server (elevated),0.187061
9,700000,Independent Client,0.165534
9,700000,Independent Client (elevated),0.099457
9,700000,Client + Server,0.250874
9,700000,Client + Server (elevated),0.194024
0,800000,Independent Client,0.172961
0,800000,Independent Client (elevated),0.101723
0,800000,Client + Server,0.276973
0,800000,Client + Server (elevated),0.229015
1,800000,Independent Client,0.184520
1,800000,Independent Client (elevated),0.105271
1,800000,Client + Server,0.292941
1,800000,Client + Server (elevated),0.227966
2,800000,Independent Client,0.173079
2,800000,Independent Client (elevated),0.110684
2,800000,Client + Server,0.289204
2,800000,Client + Server (elevated),0.218023
3,800000,Independent Client,0.176721
3,800000,Independent Client (elevated),0.112326
3,800000,Client + Server,0.291380
3,800000,Client + Server (elevated),0.227328
4,800000,Independent Client,0.187613
4,800000,Independent Client (elevated),0.105556
4,800000,Client + Server,0.291469
4,800000,Client + Server (elevated),0.222760
5,800000,Independent Client,0.172538
5,800000,Independent Client (elevated),0.110531
5,800000,Client + Server,0.284912
5,800000,Client + Server (elevated),0.223853
6,800000,Independent Client,0.176380
6,800000,Independent Client (elevated),0.109469
6,800000,Client + Server,0.290273
6,800000,Client + Server (elevated),0.207843
7,800000,Independent Client,0.173609
7,800000,Independent Client (elevated),0.109291
7,800000,Client + Server,0.288530
7,800000,Client + Server (elevated),0.225815
8,800000,Independent Client,0.171255
8,800000,Independent Client (elevated),0.110311
8,800000,Client + Server,0.289580
8,800000,Client + Server (elevated),0.229372
9,800000,Independent Client,0.181929
9,800000,Independent Client (elevated),0.105046
9,800000,Client + Server,0.288111
9,800000,Client + Server (elevated),0.221252
0,900000,Independent Client,0.173462
0,900000,Independent Client (elevated),0.120770
0,900000,Client + Server,0.326830
0,900000,Client + Server (elevated),0.246064
1,900000,Independent Client,0.189843
1,900000,Independent Client (elevated),0.119903
1,900000,Client + Server,0.326724
1,900000,Client + Server (elevated),0.250687
2,900000,Independent Client,0.191720
2,900000,Independent Client (elevated),0.121417
2,900000,Client + Server,0.317954
2,900000,Client + Server (elevated),0.248790
3,900000,Independent Client,0.194870
3,900000,Independent Client (elevated),0.122165
3,900000,Client + Server,0.306459
3,900000,Client + Server (elevated),0.254972
4,900000,Independent Client,0.195266
4,900000,Independent Client (elevated),0.122189
4,900000,Client + Server,0.322831
4,900000,Client + Server (elevated),0.232908
5,900000,Independent Client,0.190586
5,900000,Independent Client (elevated),0.124939
5,900000,Client + Server,0.324471
5,900000,Client + Server (elevated),0.249960
6,900000,Independent Client,0.206336
6,900000,Independent Client (elevated),0.118289
6,900000,Client + Server,0.323283
6,900000,Client + Server (elevated),0.241020
7,900000,Independent Client,0.204478
7,900000,Independent Client (elevated),0.120735
7,900000,Client + Server,0.323435
7,900000,Client + Server (elevated),0.253185
8,900000,Independent Client,0.182972
8,900000,Independent Client (elevated),0.120142
8,900000,Client + Server,0.305415
8,900000,Client + Server (elevated),0.247558
9,900000,Independent Client,0.191264
9,900000,Independent Client (elevated),0.108847
9,900000,Client + Server,0.328029
9,900000,Client + Server (elevated),0.251025
0,1000000,Independent Client,0.207844
0,1000000,Independent Client (elevated),0.133953
0,1000000,Client + Server,0.359413
0,1000000,Client + Server (elevated),0.279819
1,1000000,Independent Client,0.211546
1,1000000,Independent Client (elevated),0.134084
1,1000000,Client + Server,0.361237
1,1000000,Client + Server (elevated),0.274591
2,1000000,Independent Client,0.215498
2,1000000,Independent Client (elevated),0.136153
2,1000000,Client + Server,0.340855
2,1000000,Client + Server (elevated),0.270524
3,1000000,Independent Client,0.209163
3,1000000,Independent Client (elevated),0.140299
3,1000000,Client + Server,0.355884
3,1000000,Client + Server (elevated),0.260013
4,1000000,Independent Client,0.208272
4,1000000,Independent Client (elevated),0.134654
4,1000000,Client + Server,0.339623
4,1000000,Client + Server (elevated),0.282119
5,1000000,Independent Client,0.207076
5,1000000,Independent Client (elevated),0.132980
5,1000000,Client + Server,0.366767
5,1000000,Client + Server (elevated),0.276522
6,1000000,Independent Client,0.213635
6,1000000,Independent Client (elevated),0.134285
6,1000000,Client + Server,0.367449
6,1000000,Client + Server (elevated),0.279574
7,1000000,Independent Client,0.211074
7,1000000,Independent Client (elevated),0.135236
7,1000000,Client + Server,0.362456
7,1000000,Client + Server (elevated),0.281168
8,1000000,Independent Client,0.220132
8,1000000,Independent Client (elevated),0.128422
8,1000000,Client + Server,0.344777
8,1000000,Client + Server (elevated),0.258722
9,1000000,Independent Client,0.219810
9,1000000,Independent Client (elevated),0.127250
9,1000000,Client + Server,0.364308
9,1000000,Client + Server (elevated),0.279020
0,1100000,Independent Client,0.238074
0,1100000,Independent Client (elevated),0.144393
0,1100000,Client + Server,0.391047
0,1100000,Client + Server (elevated),0.298371
1,1100000,Independent Client,0.240523
1,1100000,Independent Client (elevated),0.137641
1,1100000,Client + Server,0.384525
1,1100000,Client + Server (elevated),0.308686
2,1100000,Independent Client,0.236655
2,1100000,Independent Client (elevated),0.143060
2,1100000,Client + Server,0.396028
2,1100000,Client + Server (elevated),0.304550
3,1100000,Independent Client,0.241341
3,1100000,Independent Client (elevated),0.137807
3,1100000,Client + Server,0.382356
3,1100000,Client + Server (elevated),0.305705
4,1100000,Independent Client,0.237180
4,1100000,Independent Client (elevated),0.149364
4,1100000,Client + Server,0.400218
4,1100000,Client + Server (elevated),0.284809
5,1100000,Independent Client,0.244351
5,1100000,Independent Client (elevated),0.145335
5,1100000,Client + Server,0.402661
5,1100000,Client + Server (elevated),0.294435
6,1100000,Independent Client,0.239400
6,1100000,Independent Client (elevated),0.141158
6,1100000,Client + Server,0.398330
6,1100000,Client + Server (elevated),0.293423
7,1100000,Independent Client,0.238097
7,1100000,Independent Client (elevated),0.144179
7,1100000,Client + Server,0.406620
7,1100000,Client + Server (elevated),0.296688
8,1100000,Independent Client,0.237655
8,1100000,Independent Client (elevated),0.137750
8,1100000,Client + Server,0.403827
8,1100000,Client + Server (elevated),0.306811
9,1100000,Independent Client,0.244636
9,1100000,Independent Client (elevated),0.139632
9,1100000,Client + Server,0.402564
9,1100000,Client + Server (elevated),0.308521
0,1200000,Independent Client,0.256511
0,1200000,Independent Client (elevated),0.150379
0,1200000,Client + Server,0.409663
0,1200000,Client + Server (elevated),0.310380
1,1200000,Independent Client,0.259182
1,1200000,Independent Client (elevated),0.150008
1,1200000,Client + Server,0.408769
1,1200000,Client + Server (elevated),0.320685
2,1200000,Independent Client,0.258500
2,1200000,Independent Client (elevated),0.149616
2,1200000,Client + Server,0.438601
2,1200000,Client + Server (elevated),0.311221
3,1200000,Independent Client,0.258280
3,1200000,Independent Client (elevated),0.149383
3,1200000,Client + Server,0.430836
3,1200000,Client + Server (elevated),0.340625
4,1200000,Independent Client,0.248751
4,1200000,Independent Client (elevated),0.159886
4,1200000,Client + Server,0.438395
4,1200000,Client + Server (elevated),0.328570
5,1200000,Independent Client,0.253178
5,1200000,Independent Client (elevated),0.169101
5,1200000,Client + Server,0.434213
5,1200000,Client + Server (elevated),0.335884
6,1200000,Independent Client,0.249520
6,1200000,Independent Client (elevated),0.150077
6,1200000,Client + Server,0.429870
6,1200000,Client + Server (elevated),0.335327
7,1200000,Independent Client,0.246153
7,1200000,Independent Client (elevated),0.158046
7,1200000,Client + Server,0.437811
7,1200000,Client + Server (elevated),0.322706
8,1200000,Independent Client,0.246874
8,1200000,Independent Client (elevated),0.157136
8,1200000,Client + Server,0.409432
8,1200000,Client + Server (elevated),0.331198
9,1200000,Independent Client,0.245231
9,1200000,Independent Client (elevated),0.157614
9,1200000,Client + Server,0.426413
9,1200000,Client + Server (elevated),0.333823
0,1300000,Independent Client,0.271417
0,1300000,Independent Client (elevated),0.171039
0,1300000,Client + Server,0.474435
0,1300000,Client + Server (elevated),0.363960
1,1300000,Independent Client,0.264668
1,1300000,Independent Client (elevated),0.166385
1,1300000,Client + Server,0.453873
1,1300000,Client + Server (elevated),0.363607
2,1300000,Independent Client,0.271011
2,1300000,Independent Client (elevated),0.166511
2,1300000,Client + Server,0.474376
2,1300000,Client + Server (elevated),0.366003
3,1300000,Independent Client,0.282492
3,1300000,Independent Client (elevated),0.161143
3,1300000,Client + Server,0.456331
3,1300000,Client + Server (elevated),0.360114
4,1300000,Independent Client,0.278450
4,1300000,Independent Client (elevated),0.160279
4,1300000,Client + Server,0.463394
4,1300000,Client + Server (elevated),0.361428
5,1300000,Independent Client,0.266611
5,1300000,Independent Client (elevated),0.169023
5,1300000,Client + Server,0.444603
5,1300000,Client + Server (elevated),0.362490
6,1300000,Independent Client,0.266498
6,1300000,Independent Client (elevated),0.166323
6,1300000,Client + Server,0.454403
6,1300000,Client + Server (elevated),0.365115
7,1300000,Independent Client,0.264031
7,1300000,Independent Client (elevated),0.167868
7,1300000,Client + Server,0.473694
7,1300000,Client + Server (elevated),0.362571
8,1300000,Independent Client,0.264206
8,1300000,Independent Client (elevated),0.166653
8,1300000,Client + Server,0.458837
8,1300000,Client + Server (elevated),0.355330
9,1300000,Independent Client,0.264965
9,1300000,Independent Client (elevated),0.150539
9,1300000,Client + Server,0.468577
9,1300000,Client + Server (elevated),0.359711
0,1400000,Independent Client,0.289715
0,1400000,Independent Client (elevated),0.177245
0,1400000,Client + Server,0.493410
0,1400000,Client + Server (elevated),0.396949
1,1400000,Independent Client,0.295472
1,1400000,Independent Client (elevated),0.171774
1,1400000,Client + Server,0.500569
1,1400000,Client + Server (elevated),0.395996
2,1400000,Independent Client,0.282277
2,1400000,Independent Client (elevated),0.177080
2,1400000,Client + Server,0.472521
2,1400000,Client + Server (elevated),0.363019
3,1400000,Independent Client,0.282819
3,1400000,Independent Client (elevated),0.177966
3,1400000,Client + Server,0.500813
3,1400000,Client + Server (elevated),0.385988
4,1400000,Independent Client,0.283081
4,1400000,Independent Client (elevated),0.181035
4,1400000,Client + Server,0.503440
4,1400000,Client + Server (elevated),0.390979
5,1400000,Independent Client,0.280863
5,1400000,Independent Client (elevated),0.164839
5,1400000,Client + Server,0.496581
5,1400000,Client + Server (elevated),0.389569
6,1400000,Independent Client,0.284762
6,1400000,Independent Client (elevated),0.179028
6,1400000,Client + Server,0.508819
6,1400000,Client + Server (elevated),0.393296
7,1400000,Independent Client,0.290437
7,1400000,Independent Client (elevated),0.169620
7,1400000,Client + Server,0.492323
7,1400000,Client + Server (elevated),0.390030
8,1400000,Independent Client,0.281739
8,1400000,Independent Client (elevated),0.176752
8,1400000,Client + Server,0.504851
8,1400000,Client + Server (elevated),0.396335
9,1400000,Independent Client,0.286969
9,1400000,Independent Client (elevated),0.175786
9,1400000,Client + Server,0.501884
9,1400000,Client + Server (elevated),0.395202
0,1500000,Independent Client,0.303531
0,1500000,Independent Client (elevated),0.197254
0,1500000,Client + Server,0.543508
0,1500000,Client + Server (elevated),0.403588
1,1500000,Independent Client,0.303884
1,1500000,Independent Client (elevated),0.188377
1,1500000,Client + Server,0.541271
1,1500000,Client + Server (elevated),0.419811
2,1500000,Independent Client,0.316676
2,1500000,Independent Client (elevated),0.183613
2,1500000,Client + Server,0.544810
2,1500000,Client + Server (elevated),0.397011
3,1500000,Independent Client,0.306380
3,1500000,Independent Client (elevated),0.190951
3,1500000,Client + Server,0.541404
3,1500000,Client + Server (elevated),0.485976
4,1500000,Independent Client,0.301132
4,1500000,Independent Client (elevated),0.188632
4,1500000,Client + Server,0.539948
4,1500000,Client + Server (elevated),0.420114
5,1500000,Independent Client,0.301268
5,1500000,Independent Client (elevated),0.187456
5,1500000,Client + Server,0.550345
5,1500000,Client + Server (elevated),0.417663
6,1500000,Independent Client,0.320187
6,1500000,Independent Client (elevated),0.186147
6,1500000,Client + Server,0.544706
6,1500000,Client + Server (elevated),0.387143
7,1500000,Independent Client,0.301260
7,1500000,Independent Client (elevated),0.189176
7,1500000,Client + Server,0.547073
7,1500000,Client + Server (elevated),0.400020
8,1500000,Independent Client,0.300512
8,1500000,Independent Client (elevated),0.187901
8,1500000,Client + Server,0.523609
8,1500000,Client + Server (elevated),0.404952
9,1500000,Independent Client,0.302732
9,1500000,Independent Client (elevated),0.187066
9,1500000,Client + Server,0.544114
9,1500000,Client + Server (elevated),0.480679
0,1600000,Independent Client,0.329332
0,1600000,Independent Client (elevated),0.195892
0,1600000,Client + Server,0.586323
0,1600000,Client + Server (elevated),0.450170
1,1600000,Independent Client,0.321169
1,1600000,Independent Client (elevated),0.194376
1,1600000,Client + Server,0.582771
1,1600000,Client + Server (elevated),0.441570
2,1600000,Independent Client,0.330284
2,1600000,Independent Client (elevated),0.199323
2,1600000,Client + Server,0.550874
2,1600000,Client + Server (elevated),0.422854
3,1600000,Independent Client,0.337205
3,1600000,Independent Client (elevated),0.198266
3,1600000,Client + Server,0.578100
3,1600000,Client + Server (elevated),0.443492
