run,iterations,type,latency
7,1700000,Client + Server (elevated),0.381035
8,1700000,Independent Client,0.357927
8,1700000,Independent Client (elevated),0.169570
8,1700000,Client + Server,0.656597
8,1700000,Client + Server (elevated),0.479462
9,1700000,Independent Client,0.378405
9,1700000,Independent Client (elevated),0.170542
9,1700000,Client + Server,0.618211
9,1700000,Client + Server (elevated),0.414680
0,1900000,Independent Client,0.396560
0,1900000,Independent Client (elevated),0.185502
0,1900000,Client + Server,0.734062
0,1900000,Client + Server (elevated),0.476120
1,1900000,Independent Client,0.423294
1,1900000,Independent Client (elevated),0.183645
1,1900000,Client + Server,0.670261
1,1900000,Client + Server (elevated),0.464930
2,1900000,Independent Client,0.398075
2,1900000,Independent Client (elevated),0.185830
2,1900000,Client + Server,0.689740
2,1900000,Client + Server (elevated),0.539569
3,1900000,Independent Client,0.422553
3,1900000,Independent Client (elevated),0.182900
3,1900000,Client + Server,0.680268
3,1900000,Client + Server (elevated),0.463483
4,1900000,Independent Client,0.399826
4,1900000,Independent Client (elevated),0.180005
4,1900000,Client + Server,0.733477
4,1900000,Client + Server (elevated),0.538366
5,1900000,Independent Client,0.422103
5,1900000,Independent Client (elevated),0.186738
5,1900000,Client + Server,0.733898
5,1900000,Client + Server (elevated),0.493329
6,1900000,Independent Client,0.416161
6,1900000,Independent Client (elevated),0.184769
6,1900000,Client + Server,0.716789
6,1900000,Client + Server (elevated),0.542130
7,1900000,Independent Client,0.420712
7,1900000,Independent Client (elevated),0.185932
7,1900000,Client + Server,0.688935
7,1900000,Client + Server (elevated),0.538847
8,1900000,Independent Client,0.395316
8,1900000,Independent Client (elevated),0.184322
8,1900000,Client + Server,0.690760
8,1900000,Client + Server (elevated),0.539725
9,1900000,Independent Client,0.398650
9,1900000,Independent Client (elevated),0.182424
9,1900000,Client + Server,0.692765
9,1900000,Client + Server (elevated),0.445386
